DATE,DFF
7/1/2002,1.740869565
10/1/2002,1.44423913
1/1/2003,1.249666667
4/1/2003,1.246703297
7/1/2003,1.016847826
10/1/2003,0.99673913
1/1/2004,1.001868132
4/1/2004,1.011318681
7/1/2004,1.43076087
10/1/2004,1.949891304
1/1/2005,2.469
4/1/2005,2.941758242
7/1/2005,3.46
10/1/2005,3.97826087
1/1/2006,4.454111111
4/1/2006,4.907582418
7/1/2006,5.245326087
10/1/2006,5.242934783
1/1/2007,5.254555556
4/1/2007,5.252417582
7/1/2007,5.074347826
10/1/2007,4.495652174
1/1/2008,3.181428571
4/1/2008,2.084725275
7/1/2008,1.940652174
10/1/2008,0.505326087
1/1/2009,0.184444444
4/1/2009,0.178021978
7/1/2009,0.154347826
10/1/2009,0.118369565
1/1/2010,0.133888889
4/1/2010,0.191978022
7/1/2010,0.188804348
10/1/2010,0.189565217
1/1/2011,0.154555556
4/1/2011,0.094615385
7/1/2011,0.083586957
10/1/2011,0.074347826
1/1/2012,0.104175824
4/1/2012,0.152307692
7/1/2012,0.144347826
10/1/2012,0.161195652
1/1/2013,0.143666667
4/1/2013,0.115824176
7/1/2013,0.085217391
10/1/2013,0.085543478
1/1/2014,0.072222222
4/1/2014,0.090989011
7/1/2014,0.089130435
10/1/2014,0.101304348
1/1/2015,0.112888889
4/1/2015,0.125604396
7/1/2015,0.134782609
10/1/2015,0.161086957
1/1/2016,0.35978022
4/1/2016,0.369340659
7/1/2016,0.394891304
10/1/2016,0.448152174
1/1/2017,0.698888889
4/1/2017,0.947362637
7/1/2017,1.153695652
10/1/2017,1.204673913
1/1/2018,1.447
4/1/2018,1.736923077
7/1/2018,1.926195652
10/1/2018,2.220108696
1/1/2019,2.401777778
4/1/2019,2.397362637
7/1/2019,2.192173913
10/1/2019,1.645652174
1/1/2020,1.254945055
4/1/2020,0.058791209
7/1/2020,0.092608696
10/1/2020,0.088804348
1/1/2021,0.076888889
4/1/2021,0.068241758
7/1/2021,0.09
10/1/2021,0.079456522
1/1/2022,0.121444444
4/1/2022,0.766813187
7/1/2022,2.182934783
,
