DATE,CPILFESL_PC1
2002-07-01,2.26705
2002-10-01,2.05710
2003-01-01,1.83422
2003-04-01,1.49149
2003-07-01,1.36149
2003-10-01,1.16421
2004-01-01,1.31625
2004-04-01,1.78077
2004-07-01,1.80816
2004-10-01,2.16420
2005-01-01,2.30769
2005-04-01,2.14031
2005-07-01,2.04668
2005-10-01,2.10155
2006-01-01,2.10526
2006-04-01,2.46133
2006-07-01,2.81784
2006-10-01,2.66754
2007-01-01,2.62690
2007-04-01,2.28810
2007-07-01,2.11930
2007-10-01,2.31034
2008-01-01,2.38809
2008-04-01,2.33625
2008-07-01,2.46667
2008-10-01,1.99951
2009-01-01,1.75369
2009-04-01,1.82999
2009-07-01,1.48027
2009-10-01,1.75022
2010-01-01,1.34009
2010-04-01,0.95261
2010-07-01,0.89634
2010-10-01,0.64557
2011-01-01,1.10595
2011-04-01,1.45118
2011-07-01,1.89818
2011-10-01,2.17432
2012-01-01,2.22848
2012-04-01,2.25290
2012-07-01,2.01773
2012-10-01,1.94900
2013-01-01,1.92917
2013-04-01,1.66135
2013-07-01,1.74478
2013-10-01,1.72315
2014-01-01,1.60251
2014-04-01,1.89651
2014-07-01,1.77404
2014-10-01,1.72710
2015-01-01,1.68842
2015-04-01,1.77700
2015-07-01,1.86081
2015-10-01,1.99420
2016-01-01,2.17000
2016-04-01,2.22453
2016-07-01,2.25004
2016-10-01,2.18236
2017-01-01,2.17701
2017-04-01,1.77746
2017-07-01,1.64248
2017-10-01,1.75581
2018-01-01,1.90840
2018-04-01,2.22693
2018-07-01,2.25119
2018-10-01,2.19250
2019-01-01,2.09098
2019-04-01,2.07740
2019-07-01,2.30287
2019-10-01,2.29141
2020-01-01,2.25038
2020-04-01,1.30090
2020-07-01,1.66016
2020-10-01,1.62141
2021-01-01,1.44500
2021-04-01,3.74198
2021-07-01,4.06660
2021-10-01,5.00808
2022-01-01,6.29779
2022-04-01,6.01857
2022-07-01,6.29602
