DATE,NA000334Q
2002-07-01,2751463.0
2002-10-01,2824686.0
2003-01-01,2743734.0
2003-04-01,2831413.0
2003-07-01,2886905.0
2003-10-01,2994399.0
2004-01-01,2924602.0
2004-04-01,3032386.0
2004-07-01,3069688.0
2004-10-01,3190521.0
2005-01-01,3111329.0
2005-04-01,3232051.0
2005-07-01,3306451.0
2005-10-01,3389367.0
2006-01-01,3333266.0
2006-04-01,3460990.0
2006-07-01,3463694.0
2006-10-01,3557633.0
2007-01-01,3482006.0
2007-04-01,3613882.0
2007-07-01,3637993.0
2007-10-01,3740350.0
2008-01-01,3657487.0
2008-04-01,3715835.0
2008-07-01,3698182.0
2008-10-01,3698360.0
2009-01-01,3522117.0
2009-04-01,3598010.0
2009-07-01,3623204.0
2009-10-01,3734738.0
2010-01-01,3602418.0
2010-04-01,3755370.0
2010-07-01,3793867.0
2010-10-01,3897315.0
2011-01-01,3764835.0
2011-04-01,3893028.0
2011-07-01,3927583.0
2011-10-01,4014288.0
2012-01-01,3960259.0
2012-04-01,4047165.0
2012-07-01,4086346.0
2012-10-01,4160201.0
2013-01-01,4065318.0
2013-04-01,4177428.0
2013-07-01,4249371.0
2013-10-01,4351081.0
2014-01-01,4203940.0
2014-04-01,4360754.0
2014-07-01,4454942.0
2014-10-01,4531052.0
2015-01-01,4389973.0
2015-04-01,4556248.0
2015-07-01,4605088.0
2015-10-01,4654715.0
2016-01-01,4496788.0
2016-04-01,4666051.0
2016-07-01,4720618.0
2016-10-01,4811649.0
2017-01-01,4647311.0
2017-04-01,4857936.0
2017-07-01,4920944.0
2017-10-01,5050987.0
2018-01-01,4923798.0
2018-04-01,5135597.0
2018-07-01,5187829.0
2018-10-01,5285745.0
2019-01-01,5120261.0
2019-04-01,5352103.0
2019-07-01,5397764.0
2019-10-01,5511056.0
2020-01-01,5254152.0
2020-04-01,4930197.0
2020-07-01,5349433.0
2020-10-01,5539370.0
2021-01-01,5444406.0
2021-04-01,5784816.0
2021-07-01,5883177.0
2021-10-01,6203369.0
2022-01-01,6010733.0
2022-04-01,6352982.0
2022-07-01,6434137.0
