DATE,NB000334Q
2002-07-01,83.717
2002-10-01,85.152
2003-01-01,82.199
2003-04-01,84.387
2003-07-01,86.106
2003-10-01,88.529
2004-01-01,85.76
2004-04-01,87.991
2004-07-01,89.029
2004-10-01,91.588
2005-01-01,88.684
2005-04-01,91.094
2005-07-01,92.724
2005-10-01,94.209
2006-01-01,91.777
2006-04-01,94.403
2006-07-01,94.345
2006-10-01,96.391
2007-01-01,93.149
2007-04-01,95.896
2007-07-01,96.635
2007-10-01,98.814
2008-01-01,96.045
2008-04-01,96.829
2008-07-01,96.232
2008-10-01,95.857
2009-01-01,91.139
2009-04-01,93.086
2009-07-01,94.097
2009-10-01,96.633
2010-01-01,92.937
2010-04-01,95.992
2010-07-01,97.087
2010-10-01,99.096
2011-01-01,95.267
2011-04-01,97.403
2011-07-01,98.041
2011-10-01,100.369
2012-01-01,98.102
2012-04-01,99.583
2012-07-01,100.481
2012-10-01,101.835
2013-01-01,98.87
2013-04-01,101.002
2013-07-01,102.639
2013-10-01,104.857
2014-01-01,100.394
2014-04-01,103.218
2014-07-01,105.507
2014-10-01,107.568
2015-01-01,103.668
2015-04-01,106.886
2015-07-01,108.034
2015-10-01,109.377
2016-01-01,105.533
2016-04-01,108.461
2016-07-01,109.502
2016-10-01,111.605
2017-01-01,106.825
2017-04-01,111.001
2017-07-01,112.144
2017-10-01,114.886
2018-01-01,110.747
2018-04-01,114.356
2018-07-01,115.416
2018-10-01,117.44
2019-01-01,112.829
2019-04-01,116.969
2019-07-01,118.032
2019-10-01,120.635
2020-01-01,113.903
2020-04-01,106.704
2020-07-01,115.691
2020-10-01,119.199
2021-01-01,115.458
2021-04-01,120.36
2021-07-01,120.99
2021-10-01,125.777
2022-01-01,119.5
2022-04-01,122.697
2022-07-01,123.432
