gamecode,crackedinwindow,year,meanprice,opencritic,metacritic,reviews
abzu,0,2016,16.745556,80,83,144
acecombatviiskiesunknown,1,2019,55.44305,81,78,58
adrift,0,2016,19.99,62,64,36
agentsofmayhem,1,2017,55.029999,67,68,230
annoiviii00,0,2019,60.064999,81,81,72
anthem,0,2019,59.990002,61,59,268
assassinscreedodyssey,1,2018,58.749699,84,86,270
assassinscreedorigins,0,2017,59.07,85,84,248
assassinscreedvalhalla,0,2020,59.990002,83,82,308
atotalwarsagatroy,1,2020,49.990002,76,75,69
awayout,0,2018,29.99,79,78,182
batmanarkhamknight,1,2015,51.708073,86,70,164
battlefieldhardline,0,2015,54.772667,72,71,145
battlefieldi,0,2016,55.455555,87,88,216
battlefieldv,1,2018,60.858002,79,81,178
beyondtwosouls,0,2019,19.99,71,76,18
borderlandsiii,1,2019,60.993702,80,81,196
bravelydefaultii,0,2021,53.990002,78,83,5
bulletstormfullclipedition,1,2017,41.672501,75,76,114
bussimulatoriii,0,2021,33.871864,67,73,17
bussimulatoriviii,0,2018,31.481314,65,67,6
championsofanteria,0,2016,28.565893,65,67,10
codevein,1,2019,50.263279,74,72,168
conanexiles,1,2017,29.99,68,68,0
conanunconquered,0,2019,29.99,70,62,35
crewii,0,2018,60.309612,66,66,196
crysisremastered,1,2020,29.99,65,69,65
deadrisingiv,0,2017,50.995716,72,74,2
deathloop,0,2021,57.524124,88,86,318
deathstranding,0,2020,55.736515,83,86,69
detroitbecomehuman,0,2019,39.990002,79,80,7
deusexmankinddivided,0,2016,51.188667,82,83,222
devilmaycryv,1,2019,51.87851,88,89,346
dirtv,0,2020,52.969318,81,72,200
dishonoreddeathofoutsider,1,2017,26.837778,82,81,144
dishonoredii,0,2016,54.306152,87,86,218
doom,0,2016,55.14357,86,85,222
doometernal,1,2020,56.311398,89,88,364
dragonageinquisition,1,2014,58.940002,88,85,114
dragonquestbuildersii,1,2019,58.490002,85,85,6
droneswarm,0,2020,23.292589,70,66,2
evilgeniusiiworlddomination,0,2021,33.689999,77,77,120
f1-2021,0,2021,58.218571,85,86,126
farcrynewdawn,1,2019,40.897499,73,73,238
farcryprimal,0,2016,52.883846,77,74,92
farcryv,1,2018,61.060001,82,78,302
fe,0,2018,19.99,73,73,142
fifaiiistandardedition,0,2020,60.976833,73,74,136
fifaiix,1,2018,59.990002,81,81,131
fifaiv,0,2014,59.990002,82,82,102
fifaivii,0,2016,55.923332,83,84,142
fifaiviii,1,2017,57.767776,84,81,118
fiii0ii0,0,2020,59.990002,88,88,162
fiii0ivi,0,2016,53.484444,81,86,96
fiii0ivii,1,2017,57.690334,86,89,128
fiii0iviii,1,2018,55.192497,83,83,112
finalfantasyxiizodiacage,1,2018,42.490002,85,83,6
finalfantasyxvwindowsedition,1,2018,48.978889,81,85,2
footballmanager2021,0,2020,47.37241,85,85,52
footballmanagerii0ii0,0,2019,46.672108,86,84,44
footballmanagerii0iix,1,2018,46.844791,85,86,45
footballmanagerii0ivii,0,2016,45.116001,81,80,36
footballmanagerii0iviii,0,2017,47.559696,80,82,40
forhonor,0,2017,51.997501,77,76,214
godeateriirageburst,0,2016,47.748817,73,73,46
heavyrain,0,2019,19.99,73,75,15
hitmanii,1,2018,54.887978,83,82,242
homefrontrevolution,0,2016,56.771111,48,54,136
iidark,1,2017,20.062059,63,68,52
immortalsfenyxrising,0,2020,59.990002,79,79,278
injusticeii,0,2017,47.926056,87,86,9
inside,1,2016,19.99,91,87,136
jurassicworldevolution,0,2018,54.990002,71,69,114
