hwavg,mt1,mt2,grade,s
76.75599921,100,92,A,1
94.55832424,83,100,A,1
98.27275511,88,85,A,1
95.79621014,97,97.7,A,1
98.55805626,83.5,87,A,1
97.80450055,85,100,A,1
98.07800295,100,84.7,A,1
89.79624824,88,97.7,A,1
97.43299659,88,100,A,1
93.08451117,85,97.7,A,1
97.24742673,85,92.7,A,1
95.74580739,100,90,A,1
93.40067341,90,94.7,A,1
93.71027705,84,97.7,A,1
97.12594315,93,80,A,1
80.65498176,95,100,A,1
94.07070705,99,86,A,1
96.22985343,95,98,A,1
98.68939479,95,100,A,1
96.17291923,88,97.7,A,1
99.06846204,84,97.7,A,1
90.04311634,93,92.7,A,1
92.53435952,95,93,A,1
95.10711905,89,100,A,1
82.10534582,91,85,A,1
95.01521115,84,96.7,A,1
98.453984,94,83.7,A,1
98.65596774,91,89,A,1
86.06831838,95,86.7,A,1
96.99725865,92,95,A,1
94.79158358,91,90,A,1
94.22817038,84,92.7,A,1
94.77272034,81,92,A,1
98.47414867,86,94.7,A,1
89.12310406,94,87.7,A,1
98.63123339,68,97.7,A,1
92.90824648,85,92.7,A,1
98.5469541,100,95,A,1
95.70630616,69,100,A-,1
93.21357982,89,82.7,A-,1
89.74482917,77,92,A-,1
91.32997053,85,92.7,A-,1
98.45666222,90,70.7,A-,1
96.6771042,90,83,A-,1
96.30137794,86,73.7,A-,1
98.59531865,85,92,A-,1
95.44773572,98,82,A-,1
86.75311853,79,87.7,A-,1
96.50656869,95,86,A-,1
92.02955461,88,100,A-,1
95.39395523,84,80.7,A-,1
94.33463162,66,95.7,A-,1
93.9344399,84.5,85,A-,1
96.59581509,85.5,87.7,A-,1
92.92757729,80,94,A-,1
98.14702626,80,87,A-,1
90.52188424,87,100,A-,1
94.91111081,80,93,A-,1
96.93642701,90,95.2,A-,1
95.69953442,80.5,92.7,A-,1
95.86651034,71,97.7,A-,1
92.18580303,79,93,A-,1
97.86448065,81,85,A-,1
92.16935939,90,95,A-,1
97.19158285,70,83,A-,1
97.79158236,79,87.7,A-,1
97.56674196,83,87.7,A-,1
89.27218206,79,87.7,A-,1
97.91939218,71,90,A-,1
98.50258069,81,79.7,A-,1
92.88641976,90,85,A-,1
93.4064716,85,95,A-,1
92.95215127,89,83.7,B,1
96.30463281,56,82.7,B,1
80.62880616,71,80,B,1
98.00052384,75,92,B,1
92.26337513,90,75,B,1
94.05423584,75,82.7,B,1
97.88633978,72,85,B,1
85.2611304,82,87.7,B,1
89.93693616,68,84,B,1
93.86717919,69,80.7,B,1
98.02198147,80,87,B,1
77.18087301,84,80,B,1
92.05521875,93,80.7,B,1
91.25950315,89,60,B,1
91.60039925,78,55,B,1
95.04606154,66,77.7,B,1
94.25652271,84,90,B,1
96.87999018,70,76,B,1
95.75550774,80,85,B,1
88.08585899,75,81,B,1
97.2846622,76,87,B,1
91.30145877,77.5,82.7,B,1
95.94279048,86,79,B,1
94.85780014,76,90,B,1
93.93810061,88,75,B,1
94.71233479,75,64.7,B,1
79.62716028,54,82.7,B,1
95.36376978,78,80.7,B,1
90.04016145,77,95,B,1
89.79562418,77,80.7,B,1
90.01114832,92,62,B,1
95.64943149,84,84.2,B,1
92.55757699,72,90,B,1
90.02162085,80,73,B,1
95.41896705,75,82.7,B,1
92.21895119,73,75,B,1
92.32999844,77,76,B,1
91.40657388,83,76,B,1
97.99831657,84,85,B,1
95.89523824,82,75,B,1
85.20294467,78,90,B,1
96.80125618,73,74.7,B,1
85.02719836,93,90.7,B,1
92.90014432,73,68,B,1
91.0114363,55.5,89,B,1
96.94048182,74,84.7,B,1
95.05621301,71,71.7,B,1
97.12050798,70,82.7,B,1
96.58778549,88,78.7,B,1
96.60485786,88,71.7,B,1
88.09790026,85,60,B,1
