wage,hours,iq,kww,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,distance
115,50,108,46,12,9,3,29,1,0,0,1,5,6,10,11,55.65152
200,55,103,38,10,11,15,32,1,0,1,1,3,2,12,5,32.856533
260,40,75,35,12,21,0,37,1,1,1,0,3,3,,,54.709686
265,40,101,43,12,18,2,37,1,0,0,1,1,2,,,56.788822
289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11,58.071003
300,24,83,45,12,16,3,37,1,1,1,1,4,1,3,,56.915459
310,40,104,37,13,10,0,33,0,0,0,0,2,1,14,8,61.180122
325,55,113,39,12,11,5,29,1,0,1,0,1,2,10,13,60.297199
340,50,104,41,14,4,1,31,1,0,1,1,5,3,8,18,62.350864
345,40,84,28,12,7,8,31,1,1,1,1,2,2,,,60.070328
350,40,74,24,12,14,3,32,1,0,0,1,4,2,10,13,54.595482
350,45,116,36,16,5,3,33,1,0,1,1,2,2,11,12,65.733475
350,40,93,41,12,16,0,33,0,1,1,1,1,1,12,,59.617008
350,40,109,48,12,14,1,36,1,0,0,0,1,1,9,7,55.306736
357,70,97,34,14,6,3,28,1,0,1,0,1,2,13,16,62.420826
357,70,115,37,13,5,2,30,1,0,1,1,6,7,,,61.308395
369,40,117,36,18,11,1,31,0,0,0,0,3,4,,,66.943779
370,32,73,31,12,13,2,31,1,1,1,0,9,2,3,4,51.227184
375,40,89,24,14,9,3,30,1,1,1,1,3,1,13,,63.382118
375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5,34.24807
375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8,59.21381
377,40,83,32,12,9,1,36,0,0,1,1,1,1,12,12,57.497627
380,50,106,28,12,15,11,30,1,0,1,0,2,1,7,7,56.882729
390,59,74,26,15,10,3,30,1,1,1,1,3,3,7,6,63.712753
393,48,92,37,12,15,16,38,1,0,1,1,1,1,8,7,47.687912
400,40,88,34,12,14,1,32,1,1,1,1,7,7,7,6,49.03553
400,70,100,43,12,12,3,32,1,0,0,1,3,2,5,8,55.26897
400,40,90,36,10,12,1,32,1,1,0,1,5,3,8,,33.84259
400,50,68,35,12,4,9,31,1,1,1,1,6,1,6,2,56.571152
402,40,76,28,12,9,4,28,1,1,0,1,4,2,,10,59.586739
409,40,93,26,12,17,18,38,0,0,1,0,0,1,,,59.005657
417,40,80,30,12,8,0,30,0,0,1,1,3,4,8,7,58.540653
417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6,55.047497
418,40,76,26,12,12,2,31,1,1,1,0,0,1,9,10,56.333633
425,40,86,17,10,7,1,30,1,0,1,0,4,4,3,7,35.112003
425,30,106,34,17,8,0,36,0,0,1,0,0,1,14,12,66.492889
433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11,58.817848
433,50,100,40,12,5,9,37,1,0,0,0,2,2,8,7,45.106617
440,40,84,23,12,11,2,30,1,1,1,1,5,3,9,4,59.047108
441,38,74,24,12,12,11,30,1,0,1,0,4,4,8,6,47.377323
442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,50.525711
445,40,91,40,12,11,4,32,1,0,1,0,0,1,6,8,59.250771
445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11,60.565144
445,40,80,31,10,19,0,38,1,0,0,0,5,5,,,32.975174
450,40,94,29,15,9,4,31,1,0,0,0,1,1,12,,64.02282
450,40,63,26,11,12,4,31,1,1,1,1,7,2,7,,41.538635
450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4,59.368629
450,40,95,31,11,12,2,30,1,0,1,0,2,3,8,8,39.085888
450,40,79,23,10,20,5,36,1,1,1,1,7,6,12,12,28.402275
453,50,94,34,12,9,2,30,1,0,1,0,6,4,7,7,46.345295
460,40,92,22,11,16,1,36,1,0,1,1,5,6,,,38.48436
462,40,112,35,12,11,1,29,1,0,0,1,8,3,12,,57.107296
465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11,60.789253
471,44,101,34,12,13,7,31,1,0,0,1,3,2,8,,50.370018
472,45,71,24,11,9,0,32,1,0,1,1,13,6,6,6,37.815872
475,52,98,33,14,12,1,30,0,0,0,1,6,1,8,10,63.567104
477,45,100,33,12,9,3,31,1,0,1,0,3,3,7,7,57.286217
477,60,71,32,9,12,1,30,1,0,0,0,4,2,11,5,19.560167
478,45,90,35,10,19,10,34,1,0,1,1,2,1,9,9,34.699169
479,40,97,45,12,15,1,38,1,0,1,0,3,4,,,56.201553
480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6,32.571301
480,40,76,29,12,17,3,35,0,1,1,1,8,5,11,10,58.551426
480,40,83,37,12,9,3,37,1,0,1,1,4,3,10,11,58.218174
481,48,98,26,12,14,2,31,0,1,0,1,4,3,,,44.799194
481,40,82,27,12,9,2,32,1,0,1,0,2,2,12,8,50.47739
485,40,89,24,12,10,9,30,0,0,1,0,4,3,12,18,53.171173
485,40,120,43,12,11,1,30,1,1,1,1,6,6,,,52.096283
489,55,104,47,13,20,4,38,1,0,1,1,2,2,,,61.513729
495,40,88,30,12,6,10,31,1,0,1,1,2,1,,7,56.997169
500,40,101,31,14,12,0,32,1,0,0,0,2,2,11,6,62.957146
500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12,54.301987
500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6,54.457336
500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12,59.890617
500,30,90,46,13,10,1,38,1,0,0,0,4,3,,,62.003532
500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11,57.641479
500,50,97,34,11,20,3,37,1,0,0,0,2,1,,,37.353123
500,70,83,20,12,13,11,32,1,0,0,1,5,1,6,6,54.082924
500,40,98,26,13,14,5,32,1,0,0,0,3,4,12,8,61.486595
500,40,69,18,9,21,13,38,1,1,1,1,8,6,6,,2.9926848
500,40,83,39,12,18,11,36,1,1,1,1,0,1,7,,55.19075
507,55,110,36,14,10,4,32,1,0,1,1,2,2,13,16,63.645855
508,50,125,44,17,9,2,31,1,0,1,1,3,1,16,13,66.719963
508,50,87,35,12,16,1,32,1,1,1,1,2,1,10,,57.214447
510,54,62,34,11,13,4,33,0,1,1,1,7,6,2,10,39.847534
511,45,101,25,12,13,1,30,1,0,0,1,4,2,11,12,48.368553
513,40,104,40,16,8,10,33,1,0,1,0,5,2,12,10,64.620728
513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8,66.567963
515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12,61.145088
520,40,126,23,16,8,1,30,1,0,0,1,7,5,12,12,64.531334
520,40,79,28,16,6,1,30,1,1,1,0,0,1,11,,65.867035
520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14,66.949326
520,40,86,28,10,15,12,31,1,0,1,0,0,1,6,,25.566658
523,43,119,37,13,9,2,30,1,0,0,0,4,1,14,,62.315903
525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8,59.06678
525,40,100,22,13,5,1,31,1,0,1,0,1,1,10,12,61.409283
525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12,58.923424
528,55,116,40,18,5,9,30,1,0,0,1,4,5,12,12,67.474525
529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8,60.970558
533,30,65,21,12,5,1,32,0,1,0,1,5,1,11,12,58.445869
533,45,109,31,15,8,2,30,1,0,0,1,2,2,15,12,63.797951
537,40,97,32,12,14,8,31,0,1,0,1,2,1,11,,58.2663
538,55,98,45,18,5,1,34,1,0,0,1,2,2,13,,67.431023
540,50,113,33,12,12,3,31,1,0,0,0,5,4,6,12,51.321861
543,45,90,31,14,5,7,38,1,1,1,1,1,2,6,,63.450317
547,60,88,38,11,17,5,34,1,0,1,1,4,5,,,38.756786
548,40,86,22,11,7,0,33,1,1,0,1,5,2,11,,41.417358
549,49,79,23,12,11,3,32,0,0,0,0,4,2,8,8,46.789284
550,56,99,42,12,17,11,36,1,0,1,1,1,2,12,12,58.311611
550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11,55.055923
550,40,95,34,12,14,13,31,1,0,1,0,0,1,5,5,59.226189
550,40,77,36,12,15,2,37,1,0,0,0,6,3,8,8,49.29409
550,40,110,35,16,15,1,38,1,0,0,0,2,1,,,66.101685
550,40,95,20,12,4,1,30,0,0,0,0,3,4,12,10,54.99955
553,40,67,22,12,11,10,30,1,1,1,0,7,2,8,9,60.019241
556,40,127,44,16,6,2,31,1,1,1,1,2,1,12,12,66.352272
560,49,112,37,16,13,2,32,1,0,1,0,3,1,8,2,64.385056
560,44,70,34,12,16,11,35,1,1,1,1,2,1,8,,52.343948
562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,39.12907
562,55,90,46,13,4,1,38,1,0,1,0,1,1,12,11,62.191765
562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12,58.107571
565,45,82,30,10,15,3,33,1,0,0,0,4,4,,,27.632093
566,45,104,46,16,5,2,32,1,0,1,0,1,2,12,12,66.195656
570,50,101,43,12,11,12,30,1,0,0,1,2,3,12,,59.743546
571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9,61.643185
571,40,66,20,9,15,10,33,1,0,1,0,5,1,8,6,21.19067
575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12,60.892776
575,40,116,37,12,11,9,29,1,0,1,0,1,2,8,12,60.104145
575,40,96,31,11,17,1,35,1,0,1,1,2,1,12,7,38.040394
577,40,111,37,16,8,8,29,0,1,1,1,1,1,18,18,66.186455
577,40,92,33,15,8,1,28,1,1,1,1,1,2,10,7,64.094765
577,40,106,43,17,11,7,33,0,1,1,1,3,2,13,16,66.647552
577,55,108,47,16,4,0,31,1,1,1,1,2,2,8,8,66.162941
577,60,104,43,14,6,2,30,1,0,1,1,2,3,14,12,63.368221
579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,61.893291
583,48,94,35,14,10,6,37,1,0,0,0,2,1,12,12,63.521862
583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9,65.30349
