sleep,age,minworked,goodhealth,male
3113,32,3438,0,1
2920,31,5020,1,1
2670,44,2815,1,1
3083,30,3786,1,0
3448,64,2580,1,1
4063,41,1205,1,1
3180,35,2113,1,1
2928,47,3608,1,1
3368,32,2353,1,1
3018,30,2851,1,1
1575,43,6415,1,1
3295,23,370,1,0
3798,24,2438,1,1
3008,48,2693,1,1
3248,33,2526,1,1
3683,23,2950,0,1
3201,46,3003,1,1
2580,37,4011,1,1
3420,53,2300,1,1
3090,45,1543,1,1
2760,46,3473,1,1
2880,40,3276,1,1
3470,53,2506,1,1
2673,29,2651,1,1
2820,29,4580,1,1
2873,53,3588,1,1
1905,28,3418,1,1
2926,35,2250,1,0
2603,36,2638,1,1
3238,59,3173,0,1
3888,26,3446,1,1
2716,24,3588,1,1
3245,28,2961,1,1
3158,39,2778,1,1
3105,33,3080,1,1
3515,28,3556,1,1
3330,33,2788,1,1
4153,47,1100,1,1
2955,31,3116,1,1
2200,26,2506,0,1
2885,31,2763,1,1
3345,38,3048,1,1
2765,44,2511,1,0
3928,49,3268,0,1
2833,56,3242,1,1
3750,41,2550,1,1
3328,36,3188,1,1
3795,36,1555,1,1
3363,37,2743,1,1
2280,23,5043,0,1
4151,29,3570,1,1
3266,29,2883,1,1
3570,26,2398,1,1
2885,29,2663,1,1
2879,25,2363,1,1
2790,24,1800,1,0
2799,23,2700,1,1
3173,28,3031,1,1
3308,29,2438,1,1
3305,39,2620,1,1
2975,31,2698,1,0
3316,50,2970,1,1
3226,36,2430,1,1
3635,28,2250,1,0
3233,50,2888,1,1
3348,50,1345,1,1
2630,50,2925,1,0
2858,55,3976,1,0
3203,34,2205,1,0
3451,44,1208,1,1
3008,30,2905,1,1
2821,23,3825,1,1
3525,32,2348,1,1
3150,40,1825,1,1
3113,34,2563,1,0
2816,23,2576,1,0
3105,24,2275,1,1
3605,39,3595,1,1
3611,39,2575,1,1
3128,33,2843,1,1
3213,31,2188,1,1
3860,37,0,1,1
4275,60,2248,0,0
3076,43,2876,1,1
4313,34,2758,1,1
2885,37,2578,1,1
3165,50,2163,1,1
3105,32,4075,1,1
3063,47,2388,1,1
3368,35,2048,1,1
3415,62,2935,1,1
3508,38,2400,1,1
2788,51,2325,1,1
3180,32,2108,1,1
3123,49,2483,1,1
3388,36,1913,1,1
3610,41,1738,1,1
3351,34,3671,1,1
2653,36,3225,1,1
3413,31,4058,1,1
3218,38,2713,1,1
3045,32,2982,1,1
3433,35,3025,1,1
3730,23,2213,1,0
2970,27,2125,1,1
3475,47,2313,1,0
3430,39,3140,1,1
2910,34,625,1,0
3570,52,2350,1,1
3060,45,2745,1,1
3495,61,2038,1,1
2970,44,2880,0,0
3008,51,3331,0,1
3428,49,1175,1,0
3288,64,1605,1,1
2400,30,3146,1,1
3070,36,3135,1,1
2250,26,4065,1,0
3323,44,2968,0,1
3023,28,2791,1,1
3505,59,2398,1,1
3503,35,1588,1,1
3370,56,2611,1,1
3120,38,2948,1,1
3308,28,3038,1,1
3398,50,1655,1,0
3333,46,2560,1,1
2728,28,1175,1,0
3256,28,1350,0,1
3250,36,3598,1,0
2915,47,2638,1,1
4170,40,3230,1,1
3030,42,3311,1,1
3668,41,2218,1,0
2303,44,3699,1,1
3618,53,3569,1,0
3316,39,1775,1,1
3601,26,283,1,0
2413,25,400,0,0
2771,32,3533,1,1
3383,32,2638,1,1
3808,24,1175,0,0
3363,56,2426,1,1
3675,34,2113,1,1
3120,23,2477,1,1
3536,29,2375,1,0
3253,27,2813,1,1
2885,58,2625,1,1
2560,56,3018,1,1
2985,37,4335,1,1
3095,51,3105,0,0
2985,50,3194,1,1
2243,39,2713,1,1
2838,48,2338,1,1
3375,50,938,1,1
3355,26,3151,1,1
3743,51,0,1,1
2701,39,3695,1,1
2943,54,2575,1,0
3463,28,2380,1,1
2723,37,2781,1,1
3875,26,2088,1,1
3115,35,2892,1,1
2756,53,1188,1,0
3398,53,2088,1,1
3098,27,3480,1,1
2991,37,2588,1,1
3215,28,2688,1,0
