sleep,hoursworked,age,goodhealth,male
51.88333333,57.3,32,0,1
48.66666667,83.66666667,31,1,1
44.5,46.91666667,44,1,1
51.38333333,63.1,30,1,0
57.46666667,43,64,1,1
67.71666667,20.08333333,41,1,1
53,35.21666667,35,1,1
48.8,60.13333333,47,1,1
56.13333333,39.21666667,32,1,1
50.3,47.51666667,30,1,1
26.25,106.9166667,43,1,1
54.91666667,6.166666667,23,1,0
63.3,40.63333333,24,1,1
50.13333333,44.88333333,48,1,1
54.13333333,42.1,33,1,1
61.38333333,49.16666667,23,0,1
53.35,50.05,46,1,1
43,66.85,37,1,1
57,38.33333333,53,1,1
51.5,25.71666667,45,1,1
46,57.88333333,46,1,1
48,54.6,40,1,1
57.83333333,41.76666667,53,1,1
44.55,44.18333333,29,1,1
47,76.33333333,29,1,1
47.88333333,59.8,53,1,1
31.75,56.96666667,28,1,1
48.76666667,37.5,35,1,0
43.38333333,43.96666667,36,1,1
53.96666667,52.88333333,59,0,1
64.8,57.43333333,26,1,1
45.26666667,59.8,24,1,1
54.08333333,49.35,28,1,1
52.63333333,46.3,39,1,1
51.75,51.33333333,33,1,1
58.58333333,59.26666667,28,1,1
55.5,46.46666667,33,1,1
69.21666667,18.33333333,47,1,1
49.25,51.93333333,31,1,1
36.66666667,41.76666667,26,0,1
48.08333333,46.05,31,1,1
55.75,50.8,38,1,1
46.08333333,41.85,44,1,0
65.46666667,54.46666667,49,0,1
47.21666667,54.03333333,56,1,1
62.5,42.5,41,1,1
55.46666667,53.13333333,36,1,1
63.25,25.91666667,36,1,1
56.05,45.71666667,37,1,1
38,84.05,23,0,1
69.18333333,59.5,29,1,1
54.43333333,48.05,29,1,1
59.5,39.96666667,26,1,1
48.08333333,44.38333333,29,1,1
47.98333333,39.38333333,25,1,1
46.5,30,24,1,0
46.65,45,23,1,1
52.88333333,50.51666667,28,1,1
55.13333333,40.63333333,29,1,1
55.08333333,43.66666667,39,1,1
49.58333333,44.96666667,31,1,0
55.26666667,49.5,50,1,1
53.76666667,40.5,36,1,1
60.58333333,37.5,28,1,0
53.88333333,48.13333333,50,1,1
55.8,22.41666667,50,1,1
43.83333333,48.75,50,1,0
47.63333333,66.26666667,55,1,0
53.38333333,36.75,34,1,0
57.51666667,20.13333333,44,1,1
50.13333333,48.41666667,30,1,1
47.01666667,63.75,23,1,1
58.75,39.13333333,32,1,1
52.5,30.41666667,40,1,1
51.88333333,42.71666667,34,1,0
46.93333333,42.93333333,23,1,0
51.75,37.91666667,24,1,1
60.08333333,59.91666667,39,1,1
60.18333333,42.91666667,39,1,1
52.13333333,47.38333333,33,1,1
53.55,36.46666667,31,1,1
64.33333333,0,37,1,1
71.25,37.46666667,60,0,0
51.26666667,47.93333333,43,1,1
71.88333333,45.96666667,34,1,1
48.08333333,42.96666667,37,1,1
52.75,36.05,50,1,1
51.75,67.91666667,32,1,1
51.05,39.8,47,1,1
56.13333333,34.13333333,35,1,1
56.91666667,48.91666667,62,1,1
58.46666667,40,38,1,1
46.46666667,38.75,51,1,1
53,35.13333333,32,1,1
52.05,41.38333333,49,1,1
56.46666667,31.88333333,36,1,1
60.16666667,28.96666667,41,1,1
55.85,61.18333333,34,1,1
44.21666667,53.75,36,1,1
56.88333333,67.63333333,31,1,1
53.63333333,45.21666667,38,1,1
50.75,49.7,32,1,1
57.21666667,50.41666667,35,1,1
62.16666667,36.88333333,23,1,0
49.5,35.41666667,27,1,1
57.91666667,38.55,47,1,0
57.16666667,52.33333333,39,1,1
48.5,10.41666667,34,1,0
59.5,39.16666667,52,1,1
51,45.75,45,1,1
58.25,33.96666667,61,1,1
49.5,48,44,0,0
50.13333333,55.51666667,51,0,1
57.13333333,19.58333333,49,1,0
54.8,26.75,64,1,1
40,52.43333333,30,1,1
51.16666667,52.25,36,1,1
37.5,67.75,26,1,0
55.38333333,49.46666667,44,0,1
50.38333333,46.51666667,28,1,1
58.41666667,39.96666667,59,1,1
58.38333333,26.46666667,35,1,1
56.16666667,43.51666667,56,1,1
52,49.13333333,38,1,1
55.13333333,50.63333333,28,1,1
56.63333333,27.58333333,50,1,0
55.55,42.66666667,46,1,1
45.46666667,19.58333333,28,1,0
54.26666667,22.5,28,0,1
54.16666667,59.96666667,36,1,0
48.58333333,43.96666667,47,1,1
69.5,53.83333333,40,1,1
50.5,55.18333333,42,1,1
61.13333333,36.96666667,41,1,0
38.38333333,61.65,44,1,1
60.3,59.48333333,53,1,0
55.26666667,29.58333333,39,1,1
60.01666667,4.716666667,26,1,0
40.21666667,6.666666667,25,0,0
46.18333333,58.88333333,32,1,1
56.38333333,43.96666667,32,1,1
63.46666667,19.58333333,24,0,0
56.05,40.43333333,56,1,1
61.25,35.21666667,34,1,1
52,41.28333333,23,1,1
58.93333333,39.58333333,29,1,0
54.21666667,46.88333333,27,1,1
48.08333333,43.75,58,1,1
42.66666667,50.3,56,1,1
49.75,72.25,37,1,1
51.58333333,51.75,51,0,0
49.75,53.23333333,50,1,1
37.38333333,45.21666667,39,1,1
47.3,38.96666667,48,1,1
56.25,15.63333333,50,1,1
55.91666667,52.51666667,26,1,1
62.38333333,0,51,1,1
45.01666667,61.58333333,39,1,1
49.05,42.91666667,54,1,0
57.71666667,39.66666667,28,1,1
45.38333333,46.35,37,1,1
64.58333333,34.8,26,1,1
51.91666667,48.2,35,1,1
45.93333333,19.8,53,1,0
56.63333333,34.8,53,1,1
51.63333333,58,27,1,1
49.85,43.13333333,37,1,1
53.58333333,44.8,28,1,0
60.18333333,24.08333333,29,1,0
55.08333333,50.83333333,44,1,1
56.11666667,37.5,26,1,0
43.63333333,46.05,32,1,1
57.91666667,50.13333333,59,0,0
60.3,49.01666667,26,1,1
57.66666667,10.83333333,32,0,0
54.16666667,45,27,1,1
44.13333333,46.25,57,1,0
50.75,38.55,26,1,1
51.08333333,50.05,37,0,1
47.91666667,38.35,24,1,1
51.5,30.1,33,1,1
46.63333333,39.43333333,33,1,1
60.16666667,41.1,27,1,1
56.71666667,44.13333333,45,1,1
60.93333333,33.5,32,1,1
55.8,29.33333333,30,1,1
52.16666667,52.25,35,1,0
53.55,24.75,35,1,0
64.25,41.05,46,0,1
52.3,39.18333333,47,1,1
53.38333333,49.58333333,51,1,1
48.83333333,21.38333333,28,1,1
40.8,41.46666667,47,1,1
59.26666667,13.76666667,46,0,0
61,42.91666667,42,1,0
42.26666667,38.76666667,59,1,0
47.13333333,45,30,1,0
51.71666667,22.5,35,1,0
62.16666667,19.58333333,23,1,0
47.33333333,39.21666667,38,1,0
53.5,26.05,61,1,0
60.83333333,10,51,1,0
45.13333333,41.68333333,55,1,1
58.83333333,37.5,33,1,0
78.25,25.55,52,1,0
