game,mapsize,metascore,mainhours,fullhours,propextra,yearreleased,yearbracket,logmapsize,logmetascore,logmainhours,logfullhours,logpropextra
Arma 2,87,77,17.5,78,0.775641,2009,2005,4.465908,4.343805,2.862201,4.356709,-0.2540655
Arma 3,104,74,19.5,114,0.8289474,2013,2010,4.644391,4.304065,2.970414,4.736198,-0.1875986
Assassin's Creed IV: Black Flag,90.2,85,23,60,0.6166667,2013,2010,4.502029,4.442651,3.135494,4.094345,-0.4834266
Assassin's Creed Odyssey,90.7,85,44,140,0.6857143,2018,2015,4.507557,4.442651,3.78419,4.941642,-0.3772942
Assassin's Creed Origins,32.8,83,30,84,0.6428571,2017,2015,3.490428,4.41884,3.401197,4.430817,-0.4418328
Assassin's Creed Valhalla,38.5,82,60,136,0.5588235,2020,2020,3.650658,4.406719,4.094345,4.912655,-0.5819216
Assassin's Creed: Rogue,27,73,10.5,39,0.7307692,2014,2010,3.295837,4.29046,2.351375,3.663562,-0.3136576
Breath of the Wild,23.7,97,50,189,0.7354497,2017,2015,3.165475,4.574711,3.912023,5.241747,-0.3072731
Burnout Paradise,26,87,13,55.5,0.7657658,2008,2005,3.258096,4.465908,2.564949,4.016383,-0.2668789
Death Stranding,230,84,40.5,113,0.6415929,2019,2015,5.438079,4.430817,3.701302,4.727388,-0.4438013
Dragon Age: Inquisition,45,86,46.5,127,0.6338583,2014,2010,3.806663,4.454347,3.839452,4.844187,-0.4559299
Elden Ring,30.5,95,51.5,130,0.6038461,2022,2020,3.417727,4.553877,3.941582,4.867535,-0.5044358
Fallout 3,4.4,91,22.5,116,0.8060345,2008,2005,1.481605,4.510859,3.113515,4.75359,-0.2156287
Fallout 4,3.8,86,27,158,0.8291139,2015,2015,1.335001,4.454347,3.295837,5.062595,-0.1873977
Fallout: New Vegas,4.1,83,27,131,0.7938932,2010,2010,1.410987,4.41884,3.295837,4.875197,-0.2308064
Far Cry 2,19,85,16.5,42,0.6071429,2008,2005,2.944439,4.442651,2.80336,3.73767,-0.4989912
Far Cry 3,11.6,90,15.5,37,0.5810811,2012,2010,2.451005,4.49981,2.74084,3.610918,-0.542865
Far Cry 4,11,82,17.5,46,0.6195652,2014,2010,2.397895,4.406719,2.862201,3.828641,-0.4787374
Far Cry 5,10.8,80,18,45,0.6,2018,2015,2.379546,4.382027,2.890372,3.806663,-0.5108256
Far Cry 6,12,75,23,56,0.5892857,2021,2020,2.484907,4.317488,3.135494,4.025352,-0.5288441
Final Fantasy X,49,92,46,148,0.6891892,2001,2000,3.89182,4.521789,3.828641,4.997212,-0.3722394
Final Fantasy XV,200,81,28,95,0.7052631,2016,2015,5.298317,4.394449,3.332205,4.553877,-0.3491843
Forza Horizon 4,28,90,13.5,132,0.8977273,2018,2015,3.332205,4.49981,2.60269,4.882802,-0.107889
Forza Horizon 5,41,91,20,99,0.7979798,2021,2020,3.713572,4.510859,2.995732,4.59512,-0.225672
Ghost of Tsushima,11,83,25,61,0.5901639,2020,2020,2.397895,4.41884,3.218876,4.110874,-0.5273549
Gothic 3,7.5,63,45,120,0.625,2006,2005,2.014903,4.143135,3.806663,4.787492,-0.4700036
Grand Theft Auto 3,3,95,15,40,0.625,2002,2000,1.098612,4.553877,2.70805,3.688879,-0.4700036
Grand Theft Auto 4,6.8,95,27.5,76,0.6381579,2008,2005,1.916923,4.553877,3.314186,4.330733,-0.4491695
Grand Theft Auto V,29.2,97,31.5,79.5,0.6037736,2013,2010,3.374169,4.574711,3.449988,4.375757,-0.504556
GTA San Andreas,14,94,30.5,80,0.61875,2004,2000,2.639057,4.543295,3.417727,4.382027,-0.480054
Immortals Fenyx Rising,10.4,78,25.5,60.5,0.5785124,2020,2020,2.341806,4.356709,3.238678,4.102643,-0.5472953
Just Cause,395.2,74,8.5,30.5,0.7213115,2006,2005,5.979392,4.304065,2.140066,3.417727,-0.3266843
Just Cause 2,400,83,18,87,0.7931035,2010,2010,5.991465,4.41884,2.890372,4.465908,-0.2318016
Just Cause 3,400,73,17.5,61,0.7131147,2015,2015,5.991465,4.29046,2.862201,4.110874,-0.338113
Just Cause 4,395,68,16,55,0.7090909,2018,2015,5.978886,4.219508,2.772589,4.007333,-0.3437716
Kingdom Come: Deliverance,6.1,71,40.5,128,0.6835938,2018,2015,1.808289,4.26268,3.701302,4.85203,-0.3803915
LA Noire,8,82,21.5,41,0.4756097,2011,2010,2.079442,4.406719,3.068053,3.713572,-0.7431576
