game,mapsize,metascore,mainhours,fullhours,propside,yearreleased,yearbracket
Arma 2,87,77,17.5,78,0.775641,2009,2005
Arma 3,104,74,19.5,114,0.8289474,2013,2010
Assassin's Creed IV: Black Flag,90.2,85,23,60,0.6166667,2013,2010
Assassin's Creed Odyssey,90.7,85,44,140,0.6857143,2018,2015
Assassin's Creed Origins,32.8,83,30,84,0.6428571,2017,2015
Assassin's Creed Valhalla,38.5,82,60,136,0.5588235,2020,2020
Assassin's Creed: Rogue,27,73,10.5,39,0.7307692,2014,2010
Breath of the Wild,23.7,97,50,189,0.7354497,2017,2015
Burnout Paradise,26,87,13,55.5,0.7657658,2008,2005
Death Stranding,230,84,40.5,113,0.6415929,2019,2015
Dragon Age: Inquisition,45,86,46.5,127,0.6338583,2014,2010
Elden Ring,30.5,95,51.5,130,0.6038461,2022,2020
Fallout 3,4.4,91,22.5,116,0.8060345,2008,2005
Fallout 4,3.8,86,27,158,0.8291139,2015,2015
Fallout: New Vegas,4.1,83,27,131,0.7938932,2010,2010
Far Cry 2,19,85,16.5,42,0.6071429,2008,2005
Far Cry 3,11.6,90,15.5,37,0.5810811,2012,2010
Far Cry 4,11,82,17.5,46,0.6195652,2014,2010
Far Cry 5,10.8,80,18,45,0.6,2018,2015
Far Cry 6,12,75,23,56,0.5892857,2021,2020
Final Fantasy X,49,92,46,148,0.6891892,2001,2000
Final Fantasy XV,200,81,28,95,0.7052631,2016,2015
Forza Horizon 4,28,90,13.5,132,0.8977273,2018,2015
Forza Horizon 5,41,91,20,99,0.7979798,2021,2020
Ghost of Tsushima,11,83,25,61,0.5901639,2020,2020
Gothic 3,7.5,63,45,120,0.625,2006,2005
Grand Theft Auto 3,3,95,15,40,0.625,2002,2000
Grand Theft Auto 4,6.8,95,27.5,76,0.6381579,2008,2005
Grand Theft Auto V,29.2,97,31.5,79.5,0.6037736,2013,2010
GTA San Andreas,14,94,30.5,80,0.61875,2004,2000
Immortals Fenyx Rising,10.4,78,25.5,60.5,0.5785124,2020,2020
Just Cause,395.2,74,8.5,30.5,0.7213115,2006,2005
Just Cause 2,400,83,18,87,0.7931035,2010,2010
Just Cause 3,400,73,17.5,61,0.7131147,2015,2015
Just Cause 4,395,68,16,55,0.7090909,2018,2015
Kingdom Come: Deliverance,6.1,71,40.5,128,0.6835938,2018,2015
LA Noire,8,82,21.5,41,0.4756097,2011,2010
Legend of Zelda: Breath of the Wild,22,97,50,189,0.7354497,2017,2015
Legend of Zelda: Wind Waker,16,93,25.5,42,0.3928571,2002,2000
Mad Max,29.7,71,20,62,0.6774194,2015,2015
Metal Gear Solid V: The Phantom Pain,6,93,45.5,163,0.7208589,2015,2015
Operation Flashpoint: Dragon Rising,135,76,11.5,20,0.425,2009,2005
Red Dead Redemption,11.3,95,18,46.5,0.6129032,2010,2010
Red Dead Redemption 2,12,96,50,174,0.7126437,2018,2015
Sacred 2: Fallen Angel,22,71,25,164,0.847561,2008,2005
Saints Row The Third,5.7,83,15,44,0.6590909,2011,2010
Sleeping Dogs,3.4,81,15.5,34,0.5441176,2012,2010
Sniper Ghost Warrior 3,10.4,57,11.5,32,0.640625,2017,2015
Spider-Man 2,12,80,7,39,0.8205128,2004,2000
Subnautica,6.5,83,43.5,55,0.2090909,2018,2015
The Elder Scrolls III: Morrowind,10,89,44,330,0.8666667,2002,2000
The Elder Scrolls IV: Oblivion,16,94,27.5,184,0.8505435,2006,2005
The Elder Scrolls V: Skyrim,15,94,34,232,0.8534483,2011,2010
The Getaway,6.2,72,12.5,17,0.2647059,2003,2000
The Witcher 3,84,92,51,172,0.7034883,2014,2010
Tom Clancy's Ghost Recon Wildlands,170,72,26,80,0.675,2017,2015
True Crime: New York City,25,58,7,29,0.7586207,2005,2005
True Crime: Streets of LA,240,73,9,15,0.4,2003,2000
Watch Dogs,9.2,78,19.5,60.5,0.677686,2014,2010
Watch Dogs 2,22,79,19,46,0.5869565,2016,2015
Xenoblade Chronicles,31,89,68.5,161,0.5745342,2010,2010
Xenoblade Chronicles 2,154,83,63.5,254,0.75,2017,2015
Xenoblade Chronicles X,154,84,68.5,274,0.75,2015,2015
